"","name_img","whiteRatio","sizeRatio","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","fit.cluster"
"1424","img-480.png",487,234,35,142,455,282,534,443,141,151,122,"0.7",17
"1425","img-481.png",897,382,121,73,455,670,548,202,161,80,425,"0.6875",17
"1426","img-482.png",1317,429,40,99,481,655,609,276,397,418,507,"0.821428571428571",29
"1427","img-483.png",1038,389,121,127,478,656,602,159,210,230,540,"0.625",3
"1428","img-484.png",1368,142,1,104,402,630,607,588,391,328,466,"0.388888888888889",29
"1429","img-485.png",532,377,1,263,390,367,381,334,449,605,544,"0.285714285714286",19
"1430","img-486.png",1362,361,1,268,492,555,504,464,476,376,366,"0.454545454545455",29
"1432","img-488.png",448,179,42,72,306,361,202,231,391,546,560,"0.407407407407407",22
"1433","img-489.png",935,52,215,466,447,321,326,298,238,399,573,"0.635135135135135",14
"1434","img-49.png",619,153,341,668,402,332,404,262,46,102,347,"0.203703703703704",24
"1435","img-490.png",961,432,1,93,141,147,306,425,527,513,300,"0.315789473684211",12
"1436","img-491.png",932,307,23,106,534,705,616,395,240,267,312,"0.4",17
"1437","img-492.png",739,361,28,87,455,688,516,137,144,256,491,"0.617647058823529",17
"1438","img-493.png",392,466,235,128,70,78,191,274,366,392,362,"0.68",21
"1439","img-494.png",1571,452,241,387,552,603,556,470,480,502,480,"0.5",28
"1440","img-495.png",1447,433,209,524,693,413,381,435,484,418,407,"0.571428571428571",18
"1442","img-497.png",88,211,182,629,131,63,27,38,32,29,51,"0.183908045977011",13
"1443","img-498.png",479,403,4,14,20,376,606,509,436,237,293,"0.337837837837838",23
"1444","img-499.png",853,438,75,402,505,390,583,446,210,80,201,"0.78125",17
"1445","img-5.png",202,239,518,574,225,26,96,465,84,66,133,"0.258928571428571",2
"1446","img-50.png",749,336,114,586,538,317,453,301,108,179,306,"0.357142857142857",30
"1447","img-500.png",1082,478,241,367,347,467,428,198,300,485,636,"0.5",6
"1448","img-501.png",548,31,43,345,485,560,534,294,321,304,447,"0.397435897435897",17
"1449","img-502.png",160,161,90,465,622,450,102,27,53,62,122,"0.2",4
"1450","img-503.png",75,333,274,66,101,294,349,117,212,106,62,"0.19047619047619",13
"1451","img-504.png",726,389,200,69,367,555,226,348,198,137,428,"0.363636363636364",17
"1452","img-505.png",990,377,60,284,82,183,499,488,473,491,494,"0.825",12
"1453","img-506.png",543,466,328,404,232,388,431,384,231,181,184,"0.333333333333333",2
"1454","img-507.png",1381,234,64,344,455,414,467,486,471,538,615,"0.710526315789474",8
"1455","img-508.png",1307,127,499,711,396,460,357,446,609,440,250,"0.40625",9
"1456","img-509.png",432,29,38,104,591,303,330,234,182,250,519,"0.555555555555556",22
"1457","img-51.png",820,336,236,673,498,433,381,180,161,91,281,"0.375",30
"1458","img-510.png",887,39,17,105,663,332,389,344,289,386,497,"0.753623188405797",11
"1459","img-511.png",1529,167,263,641,510,502,521,464,522,551,531,"0.5",18
"1460","img-512.png",1503,243,281,630,513,501,542,489,419,536,554,"0.5",18
"1461","img-513.png",137,329,359,366,164,145,201,151,89,169,195,"0.225806451612903",13
